image,deltaZ,labels,energies
8,-1,0.4.Au0.Ir8,-116.20281
8,-1,0.5.Au0.Ir9,-116.25513
8,-1,0.6.Au0.Ir10,-116.20383
8,-1,0.7.Au0.Ir11,-116.26733
8,-1,1.0.Au1.Ir12,-115.96867
8,-1,1.1.Au1.Ir13,-115.91969
8,-1,1.2.Au1.Ir14,-116.07003
8,-1,1.3.Au1.Ir15,-115.92976
8,-1,1.4.Au1.Ir8,-116.15301
8,-1,1.5.Au1.Ir9,-116.29906
8,-1,1.6.Au1.Ir10,-116.1959
8,-1,1.7.Au1.Ir11,-116.2578
9,1,0.0.Ir0.Au12,-115.20225
9,1,0.1.Ir0.Au13,-115.76307
9,1,0.2.Ir0.Au14,-115.02891
9,1,0.3.Ir0.Au15,-115.76137
9,1,0.4.Ir0.Au8,-115.51889
9,1,0.5.Ir0.Au9,-115.45309
9,1,0.6.Ir0.Au10,-115.52465
9,1,0.7.Ir0.Au11,-115.53892
9,1,1.0.Ir1.Au12,-115.19906
9,1,1.1.Ir1.Au13,-115.75297
9,1,1.2.Ir1.Au14,-115.03217
9,1,1.3.Ir1.Au15,-115.76772
9,1,1.4.Ir1.Au8,-115.47612
9,1,1.5.Ir1.Au9,-115.50311
9,1,1.6.Ir1.Au10,-115.52065
9,1,1.7.Ir1.Au11,-115.52631
9,-1,0.0.Au0.Ir12,-115.97266
9,-1,0.1.Au0.Ir13,-115.93575
9,-1,0.2.Au0.Ir14,-116.07457
9,-1,0.3.Au0.Ir15,-115.93854
9,-1,0.4.Au0.Ir8,-116.20181
9,-1,0.5.Au0.Ir9,-116.25848
9,-1,0.6.Au0.Ir10,-116.2086
9,-1,0.7.Au0.Ir11,-116.27223
9,-1,1.0.Au1.Ir12,-115.97165
9,-1,1.1.Au1.Ir13,-115.92256
9,-1,1.2.Au1.Ir14,-116.06673
9,-1,1.3.Au1.Ir15,-115.93517
9,-1,1.4.Au1.Ir8,-116.15246
9,-1,1.5.Au1.Ir9,-116.30252
9,-1,1.6.Au1.Ir10,-116.20187
9,-1,1.7.Au1.Ir11,-116.26087
